Health District,Lab Report Date,Number of PCR Testing Encounters,Number of Positive PCR Testing Encounters,Percentage of +ve PCR tests,Percentage of total tests given were PCR tests,Total Number of Positive Testing Encounters,Total Number of Testing Encounters
Richmond,1/26/2020,2,0,0,100,0,2
Arlington,2/2/2020,1,0,0,100,0,1
Fairfax,2/2/2020,1,0,0,100,0,1
Richmond,2/5/2020,1,0,0,100,0,1
Fairfax,2/9/2020,1,0,0,100,0,1
Out of State,2/11/2020,1,0,0,100,0,1
Fairfax,2/16/2020,1,1,100,100,1,1
Richmond,2/28/2020,2,0,0,100,0,2
Loudoun,3/3/2020,2,1,50,100,1,2
Alleghany,3/4/2020,1,0,0,100,0,1
Chesapeake,3/4/2020,1,0,0,100,0,1
Chesterfield,3/4/2020,1,0,0,100,0,1
Henrico,3/4/2020,1,0,0,100,0,1
Virginia Beach,3/4/2020,1,0,0,100,0,1
Cumberland Plateau,3/6/2020,1,0,0,100,0,1
Arlington,3/9/2020,1,0,0,100,0,1
Central Virginia,3/9/2020,2,0,0,100,0,2
Chesterfield,3/9/2020,1,0,0,100,0,1
Henrico,3/9/2020,1,0,0,100,0,1
New River,3/9/2020,1,0,0,100,0,1
Portsmouth,3/9/2020,1,0,0,100,0,1
Richmond,3/9/2020,1,0,0,100,0,1
Thomas Jefferson,3/9/2020,2,0,0,100,0,2
Fairfax,3/10/2020,3,0,0,100,0,3
Henrico,3/10/2020,1,0,0,100,0,1
New River,3/10/2020,1,0,0,100,0,1
Norfolk,3/10/2020,1,0,0,100,0,1
Peninsula,3/10/2020,1,0,0,100,0,1
Prince William,3/10/2020,1,0,0,100,0,1
Rappahannock,3/10/2020,1,0,0,100,0,1
Rappahannock Rapidan,3/10/2020,1,0,0,100,0,1
Richmond,3/10/2020,1,0,0,100,0,1
Central Shenandoah,3/11/2020,1,0,0,100,0,1
Chesapeake,3/11/2020,3,0,0,100,0,3
Chesterfield,3/11/2020,2,0,0,100,0,2
Crater,3/11/2020,1,0,0,100,0,1
Fairfax,3/11/2020,2,1,50,100,1,2
Henrico,3/11/2020,3,0,0,100,0,3
Loudoun,3/11/2020,1,0,0,100,0,1
New River,3/11/2020,1,0,0,100,0,1
Norfolk,3/11/2020,5,0,0,100,0,5
Pittsylvania-Danville,3/11/2020,1,0,0,100,0,1
Portsmouth,3/11/2020,4,0,0,100,0,4
Prince William,3/11/2020,1,1,100,100,1,1
Rappahannock,3/11/2020,3,0,0,100,0,3
Rappahannock Rapidan,3/11/2020,1,0,0,100,0,1
Richmond,3/11/2020,1,0,0,100,0,1
Thomas Jefferson,3/11/2020,1,0,0,100,0,1
Unknown,3/11/2020,1,0,0,100,0,1
Virginia Beach,3/11/2020,1,0,0,100,0,1
Alexandria,3/12/2020,2,0,0,100,0,2
Arlington,3/12/2020,12,0,0,100,0,12
Central Shenandoah,3/12/2020,2,0,0,100,0,2
Chesapeake,3/12/2020,4,0,0,100,0,4
Chesterfield,3/12/2020,3,0,0,100,0,3
Chickahominy,3/12/2020,2,0,0,100,0,2
Crater,3/12/2020,1,0,0,100,0,1
Eastern Shore,3/12/2020,2,0,0,100,0,2
Fairfax,3/12/2020,11,0,0,100,0,11
Henrico,3/12/2020,3,0,0,100,0,3
Lord Fairfax,3/12/2020,1,0,0,100,0,1
Loudoun,3/12/2020,1,0,0,100,0,1
Norfolk,3/12/2020,8,0,0,100,0,8
Out of State,3/12/2020,2,0,0,100,0,2
Peninsula,3/12/2020,1,0,0,100,0,1
Pittsylvania-Danville,3/12/2020,1,0,0,100,0,1
Prince William,3/12/2020,8,0,0,100,0,8
Rappahannock,3/12/2020,5,0,0,100,0,5
Rappahannock Rapidan,3/12/2020,2,0,0,100,0,2
Richmond,3/12/2020,1,0,0,100,0,1
Thomas Jefferson,3/12/2020,7,0,0,100,0,7
Unknown,3/12/2020,1,0,0,100,0,1
Virginia Beach,3/12/2020,5,0,0,100,0,5
Alexandria,3/13/2020,2,0,0,100,0,2
Arlington,3/13/2020,3,1,33.333333333,100,1,3
Central Shenandoah,3/13/2020,1,1,100,100,1,1
Chesapeake,3/13/2020,1,0,0,100,0,1
Fairfax,3/13/2020,11,0,0,100,0,11
Lenowisco,3/13/2020,1,0,0,100,0,1
Lord Fairfax,3/13/2020,2,0,0,100,0,2
Loudoun,3/13/2020,3,1,33.333333333,100,1,3
New River,3/13/2020,1,0,0,100,0,1
Norfolk,3/13/2020,6,0,0,100,0,6
Peninsula,3/13/2020,1,0,0,100,0,1
Pittsylvania-Danville,3/13/2020,1,0,0,100,0,1
Portsmouth,3/13/2020,20,0,0,100,0,20
Prince William,3/13/2020,11,0,0,100,0,11
Rappahannock,3/13/2020,2,0,0,100,0,2
Roanoke,3/13/2020,1,0,0,100,0,1
Southside,3/13/2020,2,0,0,100,0,2
Thomas Jefferson,3/13/2020,6,0,0,100,0,6
Unknown,3/13/2020,1,0,0,100,0,1
West Piedmont,3/13/2020,2,0,0,100,0,2
Western Tidewater,3/13/2020,1,0,0,100,0,1
Alexandria,3/14/2020,8,0,0,100,0,8
Arlington,3/14/2020,3,1,33.333333333,100,1,3
Chesapeake,3/14/2020,3,0,0,100,0,3
Chesterfield,3/14/2020,3,0,0,100,0,3
Chickahominy,3/14/2020,3,0,0,100,0,3
Fairfax,3/14/2020,8,0,0,100,0,8
Hampton,3/14/2020,2,0,0,100,0,2
Henrico,3/14/2020,2,0,0,100,0,2
Loudoun,3/14/2020,4,0,0,100,0,4
Norfolk,3/14/2020,6,0,0,100,0,6
Peninsula,3/14/2020,2,0,0,100,0,2
Prince William,3/14/2020,3,1,33.333333333,100,1,3
Rappahannock,3/14/2020,3,0,0,100,0,3
Rappahannock Rapidan,3/14/2020,1,0,0,100,0,1
Richmond,3/14/2020,1,0,0,100,0,1
Roanoke,3/14/2020,1,0,0,100,0,1
Thomas Jefferson,3/14/2020,3,0,0,100,0,3
Three Rivers,3/14/2020,2,0,0,100,0,2
Virginia Beach,3/14/2020,1,0,0,100,0,1
Alexandria,3/15/2020,2,0,0,100,0,2
Arlington,3/15/2020,7,0,0,100,0,7
Crater,3/15/2020,1,0,0,100,0,1
Cumberland Plateau,3/15/2020,1,0,0,100,0,1
Fairfax,3/15/2020,22,0,0,100,0,22
Henrico,3/15/2020,1,0,0,100,0,1
Lord Fairfax,3/15/2020,1,0,0,100,0,1
Loudoun,3/15/2020,4,0,0,100,0,4
New River,3/15/2020,1,0,0,100,0,1
Out of State,3/15/2020,1,1,100,100,1,1
Peninsula,3/15/2020,3,2,66.666666667,100,2,3
Pittsylvania-Danville,3/15/2020,1,0,0,100,0,1
Prince William,3/15/2020,16,1,6.25,100,1,16
Rappahannock,3/15/2020,6,1,16.666666667,100,1,6
Richmond,3/15/2020,2,1,50,100,1,2
Roanoke,3/15/2020,4,0,0,100,0,4
Southside,3/15/2020,2,0,0,100,0,2
Thomas Jefferson,3/15/2020,11,0,0,100,0,11
Virginia Beach,3/15/2020,1,1,100,100,1,1
West Piedmont,3/15/2020,1,0,0,100,0,1
Alexandria,3/16/2020,7,1,14.285714286,100,1,7
Arlington,3/16/2020,15,1,6.666666667,100,1,15
Central Shenandoah,3/16/2020,4,0,0,100,0,4
Central Virginia,3/16/2020,1,0,0,100,0,1
Chesapeake,3/16/2020,8,0,0,100,0,8
Chesterfield,3/16/2020,17,1,5.882352941,100,1,17
Chickahominy,3/16/2020,8,1,12.5,100,1,8
Crater,3/16/2020,3,0,0,100,0,3
Cumberland Plateau,3/16/2020,1,0,0,100,0,1
Eastern Shore,3/16/2020,1,0,0,100,0,1
Fairfax,3/16/2020,47,2,4.255319149,100,2,47
Hampton,3/16/2020,2,0,0,100,0,2
Henrico,3/16/2020,20,1,5,100,1,20
Lord Fairfax,3/16/2020,1,0,0,100,0,1
Loudoun,3/16/2020,6,2,33.333333333,100,2,6
Mount Rogers,3/16/2020,2,0,0,100,0,2
New River,3/16/2020,3,0,0,100,0,3
Norfolk,3/16/2020,27,0,0,100,0,27
Out of State,3/16/2020,16,0,0,100,0,16
Peninsula,3/16/2020,9,0,0,100,0,9
Piedmont,3/16/2020,6,0,0,100,0,6
Portsmouth,3/16/2020,5,0,0,100,0,5
Prince William,3/16/2020,15,0,0,100,0,15
Rappahannock,3/16/2020,20,0,0,100,0,20
Rappahannock Rapidan,3/16/2020,7,0,0,100,0,7
Richmond,3/16/2020,12,0,0,100,0,12
Roanoke,3/16/2020,8,0,0,100,0,8
Southside,3/16/2020,2,0,0,100,0,2
Thomas Jefferson,3/16/2020,17,2,11.764705882,100,2,17
Three Rivers,3/16/2020,13,0,0,100,0,13
Unknown,3/16/2020,1,1,100,100,1,1
Virginia Beach,3/16/2020,10,0,0,100,0,10
West Piedmont,3/16/2020,7,0,0,100,0,7
Western Tidewater,3/16/2020,4,0,0,100,0,4
Alexandria,3/17/2020,9,1,11.111111111,100,1,9
Arlington,3/17/2020,18,3,16.666666667,100,3,18
Central Shenandoah,3/17/2020,9,0,0,100,0,9
Central Virginia,3/17/2020,16,0,0,100,0,16
Chesterfield,3/17/2020,4,1,25,100,1,4
Chickahominy,3/17/2020,1,0,0,100,0,1
Cumberland Plateau,3/17/2020,1,0,0,100,0,1
Fairfax,3/17/2020,28,4,14.285714286,100,4,28
Hampton,3/17/2020,1,0,0,100,0,1
Henrico,3/17/2020,3,2,66.666666667,100,2,3
Lord Fairfax,3/17/2020,2,0,0,100,0,2
Loudoun,3/17/2020,4,1,25,100,1,4
New River,3/17/2020,5,0,0,100,0,5
Norfolk,3/17/2020,3,0,0,100,0,3
Out of State,3/17/2020,40,4,10,100,4,40
Peninsula,3/17/2020,2,0,0,100,0,2
Piedmont,3/17/2020,1,0,0,100,0,1
Pittsylvania-Danville,3/17/2020,2,0,0,100,0,2
Portsmouth,3/17/2020,2,2,100,100,2,2
Prince William,3/17/2020,30,3,10,100,3,30
Rappahannock,3/17/2020,7,0,0,100,0,7
Rappahannock Rapidan,3/17/2020,3,0,0,100,0,3
Richmond,3/17/2020,2,0,0,100,0,2
Roanoke,3/17/2020,9,0,0,100,0,9
Thomas Jefferson,3/17/2020,16,0,0,100,0,16
Unknown,3/17/2020,1,1,100,100,1,1
Virginia Beach,3/17/2020,2,1,50,100,1,2
West Piedmont,3/17/2020,2,0,0,100,0,2
Western Tidewater,3/17/2020,1,0,0,100,0,1
Alexandria,3/18/2020,7,1,14.285714286,100,1,7
Arlington,3/18/2020,24,1,4.166666667,100,1,24
Central Shenandoah,3/18/2020,7,0,0,100,0,7
Central Virginia,3/18/2020,2,0,0,100,0,2
Chesapeake,3/18/2020,15,0,0,100,0,15
Chesterfield,3/18/2020,9,0,0,100,0,9
Chickahominy,3/18/2020,7,0,0,100,0,7
Crater,3/18/2020,2,0,0,100,0,2
Eastern Shore,3/18/2020,2,0,0,100,0,2
Fairfax,3/18/2020,60,8,13.333333333,100,8,60
Hampton,3/18/2020,7,0,0,100,0,7
Henrico,3/18/2020,18,0,0,100,0,18
Lenowisco,3/18/2020,1,0,0,100,0,1
Lord Fairfax,3/18/2020,1,0,0,100,0,1
Loudoun,3/18/2020,14,0,0,100,0,14
Mount Rogers,3/18/2020,1,0,0,100,0,1
New River,3/18/2020,2,0,0,100,0,2
Norfolk,3/18/2020,27,1,3.703703704,100,1,27
Out of State,3/18/2020,62,2,3.225806452,100,2,62
Peninsula,3/18/2020,31,2,6.451612903,100,2,31
Piedmont,3/18/2020,2,0,0,100,0,2
Portsmouth,3/18/2020,10,0,0,100,0,10
Prince William,3/18/2020,28,3,10.714285714,100,3,28
Rappahannock,3/18/2020,6,0,0,100,0,6
Rappahannock Rapidan,3/18/2020,4,0,0,100,0,4
Richmond,3/18/2020,8,1,12.5,100,1,8
Thomas Jefferson,3/18/2020,7,0,0,100,0,7
Three Rivers,3/18/2020,6,0,0,100,0,6
Virginia Beach,3/18/2020,37,0,0,100,0,37
West Piedmont,3/18/2020,3,0,0,100,0,3
Western Tidewater,3/18/2020,14,0,0,100,0,14
Alexandria,3/19/2020,18,1,5.555555556,100,1,18
Alleghany,3/19/2020,2,0,0,100,0,2
Arlington,3/19/2020,37,9,24.324324324,100,9,37
Central Shenandoah,3/19/2020,26,1,3.846153846,100,1,26
Central Virginia,3/19/2020,4,0,0,100,0,4
Chesapeake,3/19/2020,23,1,4.347826087,100,1,23
Chesterfield,3/19/2020,11,3,27.272727273,100,3,11
Chickahominy,3/19/2020,4,1,25,100,1,4
Crater,3/19/2020,9,0,0,100,0,9
Cumberland Plateau,3/19/2020,1,0,0,100,0,1
Eastern Shore,3/19/2020,6,1,16.666666667,100,1,6
Fairfax,3/19/2020,126,12,9.523809524,100,12,126
Hampton,3/19/2020,2,0,0,100,0,2
Henrico,3/19/2020,11,1,9.090909091,100,1,11
Lenowisco,3/19/2020,2,0,0,100,0,2
Lord Fairfax,3/19/2020,9,0,0,100,0,9
Loudoun,3/19/2020,26,7,26.923076923,100,7,26
Mount Rogers,3/19/2020,2,0,0,100,0,2
New River,3/19/2020,1,0,0,100,0,1
Norfolk,3/19/2020,20,0,0,100,0,20
Out of State,3/19/2020,65,26,40,100,26,65
Peninsula,3/19/2020,39,12,30.769230769,100,12,39
Piedmont,3/19/2020,2,0,0,100,0,2
Pittsylvania-Danville,3/19/2020,2,0,0,100,0,2
Portsmouth,3/19/2020,3,0,0,100,0,3
Prince William,3/19/2020,29,6,20.689655172,100,6,29
Rappahannock,3/19/2020,18,0,0,100,0,18
Rappahannock Rapidan,3/19/2020,9,0,0,100,0,9
Richmond,3/19/2020,9,0,0,100,0,9
Roanoke,3/19/2020,2,1,50,100,1,2
Southside,3/19/2020,4,1,25,100,1,4
Thomas Jefferson,3/19/2020,8,0,0,100,0,8
Three Rivers,3/19/2020,4,1,25,100,1,4
Unknown,3/19/2020,1,0,0,100,0,1
Virginia Beach,3/19/2020,50,7,14,100,7,50
West Piedmont,3/19/2020,3,0,0,100,0,3
Western Tidewater,3/19/2020,5,1,20,100,1,5
Alexandria,3/20/2020,13,2,15.384615385,100,2,13
Alleghany,3/20/2020,5,0,0,100,0,5
Arlington,3/20/2020,19,5,26.315789474,100,5,19
Central Shenandoah,3/20/2020,18,0,0,100,0,18
Central Virginia,3/20/2020,15,0,0,100,0,15
Chesapeake,3/20/2020,14,0,0,100,0,14
Chesterfield,3/20/2020,19,0,0,100,0,19
Chickahominy,3/20/2020,8,1,12.5,100,1,8
Crater,3/20/2020,13,0,0,100,0,13
Cumberland Plateau,3/20/2020,6,0,0,100,0,6
Eastern Shore,3/20/2020,5,1,20,100,1,5
Fairfax,3/20/2020,86,12,13.953488372,100,12,86
Hampton,3/20/2020,8,0,0,100,0,8
Henrico,3/20/2020,18,4,22.222222222,100,4,18
Lord Fairfax,3/20/2020,6,0,0,100,0,6
Loudoun,3/20/2020,20,5,25,100,5,20
Mount Rogers,3/20/2020,5,0,0,100,0,5
New River,3/20/2020,5,0,0,100,0,5
Norfolk,3/20/2020,17,0,0,100,0,17
Out of State,3/20/2020,23,0,0,100,0,23
Peninsula,3/20/2020,28,0,0,100,0,28
Piedmont,3/20/2020,7,1,14.285714286,100,1,7
Pittsylvania-Danville,3/20/2020,2,1,50,100,1,2
Portsmouth,3/20/2020,22,1,4.545454545,100,1,22
Prince William,3/20/2020,47,4,8.510638298,100,4,47
Rappahannock,3/20/2020,14,1,7.142857143,100,1,14
Rappahannock Rapidan,3/20/2020,10,1,10,100,1,10
Richmond,3/20/2020,8,1,12.5,100,1,8
Roanoke,3/20/2020,13,1,7.692307692,100,1,13
Southside,3/20/2020,4,1,25,100,1,4
Thomas Jefferson,3/20/2020,33,2,6.060606061,100,2,33
Three Rivers,3/20/2020,11,1,9.090909091,100,1,11
Virginia Beach,3/20/2020,60,2,3.333333333,100,2,60
West Piedmont,3/20/2020,6,1,16.666666667,100,1,6
Western Tidewater,3/20/2020,7,1,14.285714286,100,1,7
Alexandria,3/21/2020,13,1,7.692307692,100,1,13
Alleghany,3/21/2020,2,0,0,100,0,2
Arlington,3/21/2020,23,5,21.739130435,100,5,23
Central Shenandoah,3/21/2020,2,0,0,100,0,2
Central Virginia,3/21/2020,31,2,6.451612903,100,2,31
Chesapeake,3/21/2020,78,0,0,100,0,78
Chesterfield,3/21/2020,20,2,10,100,2,20
Chickahominy,3/21/2020,13,2,15.384615385,100,2,13
Crater,3/21/2020,12,0,0,100,0,12
Cumberland Plateau,3/21/2020,1,0,0,100,0,1
Eastern Shore,3/21/2020,2,0,0,100,0,2
Fairfax,3/21/2020,81,10,12.345679012,100,10,81
Hampton,3/21/2020,16,0,0,100,0,16
Henrico,3/21/2020,22,3,13.636363636,100,3,22
Lenowisco,3/21/2020,5,2,40,100,2,5
Lord Fairfax,3/21/2020,3,0,0,100,0,3
Loudoun,3/21/2020,13,1,7.692307692,100,1,13
Mount Rogers,3/21/2020,2,0,0,100,0,2
New River,3/21/2020,5,0,0,100,0,5
Norfolk,3/21/2020,62,2,3.225806452,100,2,62
Out of State,3/21/2020,36,10,27.777777778,100,10,36
Peninsula,3/21/2020,82,16,19.512195122,100,16,82
Piedmont,3/21/2020,12,0,0,100,0,12
Pittsylvania-Danville,3/21/2020,2,0,0,100,0,2
Portsmouth,3/21/2020,22,2,9.090909091,100,2,22
Prince William,3/21/2020,57,3,5.263157895,100,3,57
Rappahannock,3/21/2020,27,3,11.111111111,100,3,27
Rappahannock Rapidan,3/21/2020,6,0,0,100,0,6
Richmond,3/21/2020,11,1,9.090909091,100,1,11
Roanoke,3/21/2020,17,0,0,100,0,17
Southside,3/21/2020,4,0,0,100,0,4
Thomas Jefferson,3/21/2020,27,1,3.703703704,100,1,27
Three Rivers,3/21/2020,14,0,0,100,0,14
Unknown,3/21/2020,2,0,0,100,0,2
Virginia Beach,3/21/2020,147,6,4.081632653,100,6,147
West Piedmont,3/21/2020,3,0,0,100,0,3
Western Tidewater,3/21/2020,32,1,3.125,100,1,32
Alexandria,3/22/2020,9,0,0,100,0,9
Alleghany,3/22/2020,2,0,0,100,0,2
Arlington,3/22/2020,49,7,14.285714286,100,7,49
Central Shenandoah,3/22/2020,26,0,0,100,0,26
Central Virginia,3/22/2020,7,0,0,100,0,7
Chesapeake,3/22/2020,18,1,5.555555556,100,1,18
Chesterfield,3/22/2020,7,1,14.285714286,100,1,7
Chickahominy,3/22/2020,5,1,20,100,1,5
Crater,3/22/2020,1,0,0,100,0,1
Cumberland Plateau,3/22/2020,1,0,0,100,0,1
Fairfax,3/22/2020,92,6,6.521739130,100,6,92
Hampton,3/22/2020,7,0,0,100,0,7
Henrico,3/22/2020,11,0,0,100,0,11
Lenowisco,3/22/2020,2,0,0,100,0,2
Lord Fairfax,3/22/2020,1,0,0,100,0,1
Loudoun,3/22/2020,18,0,0,100,0,18
Mount Rogers,3/22/2020,3,0,0,100,0,3
New River,3/22/2020,1,0,0,100,0,1
Norfolk,3/22/2020,20,1,5,100,1,20
Out of State,3/22/2020,28,4,14.285714286,100,4,28
Peninsula,3/22/2020,35,3,8.571428571,100,3,35
Piedmont,3/22/2020,15,1,6.666666667,100,1,15
Pittsylvania-Danville,3/22/2020,1,0,0,100,0,1
Portsmouth,3/22/2020,4,0,0,100,0,4
Prince William,3/22/2020,21,2,9.523809524,100,2,21
Rappahannock,3/22/2020,12,1,8.333333333,100,1,12
Rappahannock Rapidan,3/22/2020,16,0,0,100,0,16
Richmond,3/22/2020,4,1,25,100,1,4
Roanoke,3/22/2020,7,0,0,100,0,7
Southside,3/22/2020,1,0,0,100,0,1
Thomas Jefferson,3/22/2020,22,0,0,100,0,22
Three Rivers,3/22/2020,7,0,0,100,0,7
Virginia Beach,3/22/2020,33,1,3.030303030,100,1,33
West Piedmont,3/22/2020,1,0,0,100,0,1
Western Tidewater,3/22/2020,11,0,0,100,0,11
Alexandria,3/23/2020,14,1,7.142857143,100,1,14
Alleghany,3/23/2020,1,0,0,100,0,1
Arlington,3/23/2020,39,12,30.769230769,100,12,39
Central Shenandoah,3/23/2020,12,1,8.333333333,100,1,12
Central Virginia,3/23/2020,1,0,0,100,0,1
Chesapeake,3/23/2020,23,0,0,100,0,23
Chesterfield,3/23/2020,24,1,4.166666667,100,1,24
Chickahominy,3/23/2020,5,0,0,100,0,5
Crater,3/23/2020,7,0,0,100,0,7
Cumberland Plateau,3/23/2020,1,0,0,100,0,1
Eastern Shore,3/23/2020,4,0,0,100,0,4
Fairfax,3/23/2020,141,18,12.765957447,100,18,141
Hampton,3/23/2020,6,0,0,100,0,6
Henrico,3/23/2020,37,0,0,100,0,37
Lenowisco,3/23/2020,2,0,0,100,0,2
Lord Fairfax,3/23/2020,34,1,2.941176471,100,1,34
Loudoun,3/23/2020,25,1,4,100,1,25
Mount Rogers,3/23/2020,6,0,0,100,0,6
New River,3/23/2020,5,1,20,100,1,5
Norfolk,3/23/2020,20,1,5,100,1,20
Out of State,3/23/2020,108,18,16.666666667,100,18,108
Peninsula,3/23/2020,57,11,19.298245614,100,11,57
Piedmont,3/23/2020,11,1,9.090909091,100,1,11
Pittsylvania-Danville,3/23/2020,1,0,0,100,0,1
Portsmouth,3/23/2020,14,0,0,100,0,14
Prince William,3/23/2020,42,8,19.047619048,100,8,42
Rappahannock,3/23/2020,38,3,7.894736842,100,3,38
Rappahannock Rapidan,3/23/2020,11,0,0,100,0,11
Richmond,3/23/2020,26,4,15.384615385,100,4,26
Roanoke,3/23/2020,21,1,4.761904762,100,1,21
Southside,3/23/2020,5,2,40,100,2,5
Thomas Jefferson,3/23/2020,3,0,0,100,0,3
Three Rivers,3/23/2020,12,0,0,100,0,12
Unknown,3/23/2020,2,1,50,100,1,2
Virginia Beach,3/23/2020,34,3,8.823529412,100,3,34
West Piedmont,3/23/2020,1,0,0,100,0,1
Western Tidewater,3/23/2020,17,0,0,100,0,17
Alexandria,3/24/2020,24,5,20.833333333,100,5,24
Alleghany,3/24/2020,5,0,0,100,0,5
Arlington,3/24/2020,32,7,21.875,100,7,32
Central Shenandoah,3/24/2020,34,1,2.941176471,100,1,34
Central Virginia,3/24/2020,14,2,14.285714286,100,2,14
Chesapeake,3/24/2020,29,2,6.896551724,100,2,29
Chesterfield,3/24/2020,42,4,9.523809524,100,4,42
Chickahominy,3/24/2020,20,2,10,100,2,20
Crater,3/24/2020,28,1,3.571428571,100,1,28
Cumberland Plateau,3/24/2020,3,0,0,100,0,3
Eastern Shore,3/24/2020,2,0,0,100,0,2
Fairfax,3/24/2020,138,25,18.115942029,100,25,138
Hampton,3/24/2020,13,2,15.384615385,100,2,13
Henrico,3/24/2020,62,6,9.677419355,100,6,62
Lenowisco,3/24/2020,7,0,0,100,0,7
Lord Fairfax,3/24/2020,16,3,18.75,100,3,16
Loudoun,3/24/2020,19,2,10.526315789,100,2,19
Mount Rogers,3/24/2020,13,1,7.692307692,100,1,13
New River,3/24/2020,8,1,12.5,100,1,8
Norfolk,3/24/2020,28,0,0,100,0,28
Out of State,3/24/2020,74,28,37.837837838,100,28,74
Peninsula,3/24/2020,101,20,19.801980198,100,20,101
Piedmont,3/24/2020,21,0,0,100,0,21
Pittsylvania-Danville,3/24/2020,19,2,10.526315789,100,2,19
Portsmouth,3/24/2020,8,0,0,100,0,8
Prince William,3/24/2020,55,6,10.909090909,100,6,55
Rappahannock,3/24/2020,45,2,4.444444444,100,2,45
Rappahannock Rapidan,3/24/2020,23,2,8.695652174,100,2,23
Richmond,3/24/2020,26,0,0,100,0,26
Roanoke,3/24/2020,43,1,2.325581395,100,1,43
Southside,3/24/2020,9,1,11.111111111,100,1,9
Thomas Jefferson,3/24/2020,16,3,18.75,100,3,16
Three Rivers,3/24/2020,27,2,7.407407407,100,2,27
Unknown,3/24/2020,1,0,0,100,0,1
Virginia Beach,3/24/2020,54,5,9.259259259,100,5,54
West Piedmont,3/24/2020,4,0,0,100,0,4
Western Tidewater,3/24/2020,11,0,0,100,0,11
Alexandria,3/25/2020,27,4,14.814814815,100,4,27
Alleghany,3/25/2020,5,0,0,100,0,5
Arlington,3/25/2020,41,7,17.073170732,100,7,41
Central Shenandoah,3/25/2020,14,1,7.142857143,100,1,14
Central Virginia,3/25/2020,3,0,0,100,0,3
Chesapeake,3/25/2020,29,1,3.448275862,100,1,29
Chesterfield,3/25/2020,61,4,6.557377049,100,4,61
Chickahominy,3/25/2020,22,2,9.090909091,100,2,22
Crater,3/25/2020,21,3,14.285714286,100,3,21
Cumberland Plateau,3/25/2020,2,0,0,100,0,2
Eastern Shore,3/25/2020,1,1,100,100,1,1
Fairfax,3/25/2020,191,24,12.565445026,100,24,191
Hampton,3/25/2020,13,1,7.692307692,100,1,13
Henrico,3/25/2020,49,7,14.285714286,100,7,49
Lenowisco,3/25/2020,10,0,0,100,0,10
Lord Fairfax,3/25/2020,59,5,8.474576271,100,5,59
Loudoun,3/25/2020,56,14,25,100,14,56
Mount Rogers,3/25/2020,9,0,0,100,0,9
New River,3/25/2020,2,0,0,100,0,2
Norfolk,3/25/2020,35,3,8.571428571,100,3,35
Out of State,3/25/2020,62,24,38.709677419,100,24,62
Peninsula,3/25/2020,80,20,25,100,20,80
Piedmont,3/25/2020,8,0,0,100,0,8
Pittsylvania-Danville,3/25/2020,7,1,14.285714286,100,1,7
Portsmouth,3/25/2020,8,0,0,100,0,8
Prince William,3/25/2020,78,5,6.410256410,100,5,78
Rappahannock,3/25/2020,52,3,5.769230769,100,3,52
Rappahannock Rapidan,3/25/2020,15,3,20,100,3,15
Richmond,3/25/2020,24,5,20.833333333,100,5,24
Roanoke,3/25/2020,8,0,0,100,0,8
Southside,3/25/2020,2,1,50,100,1,2
Thomas Jefferson,3/25/2020,16,2,12.5,100,2,16
Three Rivers,3/25/2020,18,1,5.555555556,100,1,18
Unknown,3/25/2020,2,1,50,100,1,2
Virginia Beach,3/25/2020,54,3,5.555555556,100,3,54
West Piedmont,3/25/2020,3,0,0,100,0,3
Western Tidewater,3/25/2020,10,1,10,100,1,10
Alexandria,3/26/2020,32,7,21.875,100,7,32
Alleghany,3/26/2020,1,0,0,100,0,1
Arlington,3/26/2020,104,18,17.307692308,100,18,104
Central Shenandoah,3/26/2020,26,4,15.384615385,100,4,26
Central Virginia,3/26/2020,18,0,0,100,0,18
Chesapeake,3/26/2020,24,5,20.833333333,100,5,24
Chesterfield,3/26/2020,43,5,11.627906977,100,5,43
Chickahominy,3/26/2020,13,4,30.769230769,100,4,13
Crater,3/26/2020,19,0,0,100,0,19
Cumberland Plateau,3/26/2020,5,1,20,100,1,5
Eastern Shore,3/26/2020,9,1,11.111111111,100,1,9
Fairfax,3/26/2020,242,35,14.462809917,100,35,242
Hampton,3/26/2020,22,4,18.181818182,100,4,22
Henrico,3/26/2020,43,11,25.581395349,100,11,43
Lenowisco,3/26/2020,3,0,0,100,0,3
Lord Fairfax,3/26/2020,55,3,5.454545455,100,3,55
Loudoun,3/26/2020,105,8,7.619047619,100,8,105
Mount Rogers,3/26/2020,10,1,10,100,1,10
New River,3/26/2020,5,0,0,100,0,5
Norfolk,3/26/2020,32,1,3.125,100,1,32
Out of State,3/26/2020,111,27,24.324324324,100,27,111
Peninsula,3/26/2020,101,8,7.920792079,100,8,101
Piedmont,3/26/2020,8,1,12.5,100,1,8
Pittsylvania-Danville,3/26/2020,2,1,50,100,1,2
Portsmouth,3/26/2020,8,1,12.5,100,1,8
Prince William,3/26/2020,64,9,14.0625,100,9,64
Rappahannock,3/26/2020,63,5,7.936507937,100,5,63
Rappahannock Rapidan,3/26/2020,26,4,15.384615385,100,4,26
Richmond,3/26/2020,35,8,22.857142857,100,8,35
Roanoke,3/26/2020,9,0,0,100,0,9
Southside,3/26/2020,1,0,0,100,0,1
Thomas Jefferson,3/26/2020,35,4,11.428571429,100,4,35
Three Rivers,3/26/2020,37,3,8.108108108,100,3,37
Unknown,3/26/2020,2,0,0,100,0,2
